id,data
27955654, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*不需要借口*-*爱淡了就放手*-*我不想听*-*你也...
468517654, 作曲 : 郭顶*-* 作词 : 薛之谦*-*东打一下西戳一下*-*动物未必需要尖牙*-*示爱的方法...
169185, 作曲 : 薛之谦*-* 作词 : 薛之谦*-* （雪下得那么深下得那么认真）*-* （倒映出我躺在...
516657051,作词：薛之谦*-*作曲：薛之谦*-**-*我等的模样好不具象*-*用皮肤感受你的流向*-*你竟然能做...
1374061028,作词 : 薛之谦*-*作曲 : 许嵩*-**-*对过往的自己 敬个礼*-*从此 再伤害我也没关系*-...
557583281,原唱：刘维*-*原词曲： 汪苏泷*-*新版作词：薛之谦 汪苏泷*-*新版作曲：薛之谦 汪苏泷*-*我...
1374061036,作词 : 薛之谦*-*作曲 : 薛之谦　*-**-*你去过的地方我都去过 前后的故事大概听说*-*你...
574921549, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*制作人:郑楠*-*编曲:郑楠*-*录音:汝文博*-*...
27955658, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*感觉很诚恳是好事*-*不需要发誓 那么幼稚*-*本以...
27808044, 作曲 : 李荣浩*-* 作词 : 甘世佳*-*如果世界漆黑 其实我很美*-*在爱情里面进退 最多被...
1374056688,作词 : 薛之谦*-*作曲 : 薛之谦*-*我是被你吸引的尘埃*-*屋檐下最渺小的陪伴*-*爱情不用...
35528482,[by:立酱]*-* 作曲 : 李荣浩*-* 作词 : 薛之谦*-*编曲：郑伟*-*合声：陈怀恩*-...
1294910785, 作曲 : 林倛玉/郭顶*-* 作词 : 小寒/廖慧明/郭顶*-*最好就这样能把你忘掉*-*最好能不...
32507039,[by:立酱]*-* 作曲 : 薛之谦*-* 作词 : 薛之谦*-*编曲：张宝宇*-*录音师：王晓海...
557581967, 作曲 : 张洢豪*-* 作词 : 薛之谦*-*角色精湛 主题略荒诞*-*理由太短 是让人不安*-*...
515803379, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*别犹豫 别偶遇 别相遇*-*别一个人去看喜剧*-*别...
571340283, 作曲 : 方毅*-* 作词 : 薛之谦*-**-*试着留盏灯假装陪伴失眠的我*-*窗口就有等待的效...
474567044,作词：薛之谦*-*作曲：薛之谦*-*我害怕你的消息*-*不经意被谁提起*-**-*像曾贴着我耳边的气...
27955652, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*闭上眼睛 什么都不听*-**-*也许有救 反正会内疚...
466122271, 作曲 : 周以力*-* 作词 : 薛之谦*-*在阴郁的地方 积攒能量*-*人交出了什么 能变个样*...
525241230, 作曲 : 周以力*-* 作词 : 薛之谦*-*前提 是你要先感受到一丝恶意*-*具体 请闯入我森林...
27955656, 作曲 : 郭顶*-* 作词 : 郭顶*-*幽默的人都怕误会这种称谓*-**-*这一刻把我当成谁不如...
412902689, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*编曲/制作 : 郑伟*-*女声 : 孟楠*-*录音 ...
553543014, 作曲 : 唐汉霄*-* 作词 : 薛之谦*-*结构*-*让平分的阳光已穿不透*-*诱人的方式是绝无...
169137,[by:什么是被你需要]*-*[ti:我知道你都知道]*-*[ar:薛之谦]*-*[al:]*-*[...
518894283, 作曲 : 郭顶*-* 作词 : 甘世佳*-*是什么在召唤着我提醒我*-*我懦弱过犹豫过*-*若我能...
33071053, 作曲 : 陈耀川*-* 作词 : 廖莹如*-**-*浩瀚星海中 坚持一种梦*-*你手中的温暖 我好...
429450375, 作曲 : 常石磊/袁娅维*-* 作词 : 常石磊*-*鼓 : 李彦超*-*吉他 : 劳国贤*-*贝...
169140, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*买醉过几个夜晚 喝几杯咖啡 和几个人聊天*-*我搬过...
520458481, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*花被人摘走*-*心被虫吸走*-*我一无所有*-*错过...
443277013, 作曲 : 韩星洲*-* 作词 : 薛之谦*-*我在听新闻里面说 他们曾来过*-*火星人的心脏靠左*...
421160838, 作曲 : 薛之谦/高阳Gary*-* 作词 : 文雅*-*编曲 : 郑伟*-*录音 : 莫家伟*-...
517571371,中文词：薛之谦*-*原词曲：Torbjorn Brundtland，Svein Berge*-**-...
35288183, 作曲 : 郭顶*-* 作词 : 郭顶*-**-*嘲笑我有多简单*-*像番茄加两个蛋*-*闭上眼就睡...
169152,[by:顾启杭的床边故事]*-* 作曲 : 薛之谦*-* 作词 : 甘世佳*-**-*为你唱过 一场...
418603445, 作曲 : 赵佳霖*-* 作词 : 崔恕*-*（鹿晗）*-*太阳当空照*-*花儿对我笑*-*小鸟说早...
27955655,[by:什么是被你需要]*-*[ti:我想起你了]*-*[ar:薛之谦]*-*[al:]*-*[by...
27955651, 作曲 : 郭顶*-* 作词 : 郭顶*-*天桥上加冕新装*-*闪耀过塔尖繁华*-*跻身最热门排行*...
1407551413, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲 : 李荣浩*-*制作人 : 李荣浩*-**-*...
1293886117,[by:Brainbiangbe]*-* 作曲 : 李荣浩*-* 作词 : 李荣浩*-* 编曲 : ...
133998, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*一张褪色的照片*-*好像带给我一点点怀念*-*巷尾老...
518686034, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*已经为了变的更好去掉锋芒*-*一不小心成了你的倾诉对...
31654343, 作曲 : 李荣浩*-* 作词 : 黄伟文/李荣浩*-*编曲：李浩然*-*吉他/Bass/和声：李荣...
407450223,[ti:04爸爸媽媽 Mama & Papa_mmm_Pf]*-*[ar:李荣浩]*-* 作曲 : ...
1318235595, 作曲 : 郑宇界*-* 作词 : 文炅*-*编曲Arrangement：李荣浩Ronghao Li...
29710981, 作曲 : 李荣浩*-* 作词 : 黄伟文*-* 我看着颗猕猴桃*-* 眼泪突然被引爆*-* 我可不...
31134193, 作曲 : 周传雄*-* 作词 : 林夕*-*那么多年自作聪明付出了真心*-*总以为换到一个公平的回...
27678655, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*大部分人要我学习去看 世俗的眼光*-*我认真学习了世...
27731176,[by:深海少女_]*-* 作曲 : 李荣浩*-* 作词 : 周耀辉*-*穿华丽的服装 为原始的渴望...
29764562, 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*又很久没见你剪了长发*-*谈怎么说话谈怎么启发...
428375722, 作曲 : 李荣浩*-* 作词 : 黄伟文*-*为了什么 男人的冰箱 总放着甜点*-*为了什么 新娘...
1318234987, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲Arrangement：李荣浩Ronghao L...
1308818966, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲：李荣浩*-*ICE:*-*Listen bab...
29764563, 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*还没明白怎么最自在*-*怎么样算失态是不是串错...
506092654, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲：李荣浩*-**-*刚有一阵微风吹过来 觉得好凉...
31877243, 作曲 : 江志仁*-* 作词 : 林夕*-* 没 没有蜡烛*-* 就不用勉强庆祝*-* 没 没想到...
27731174, 作曲 : 李荣浩*-* 作词 : 周耀辉*-**-*谁陪我做执迷的鲸鱼*-*在人海中游来游去说自己...
31134170,[ti:Live]*-*[ar:李荣浩]*-*小芳（Live ）-李荣浩*-*村里有个姑娘她叫小芳*...
511920347, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲：李荣浩*-*花 早春开的花*-*也曾摘下过几芽...
31134197,[ti:边走边唱]*-*[ar:李荣浩]*-*[t_time:(04:23)]*-* 作曲 : 陈志...
570334069, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲：李荣浩*-**-*天亮了 还是睡不安 想了很久...
502242110, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*站台渐渐远去*-*刚好下起了小雨*-*爸妈嘱咐几句*...
27731177, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*再过一下天空就要变成红色*-**-*看着太阳一点点还...
407450218,[ti:有理想]*-* 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*太理智的消费 对不对*-...
1305547844, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲Arrangement：李荣浩Ronghao L...
29764561, 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*到现在我还乳臭未干*-*感情处理的都很难堪*-...
27731172,[by:吉亚多]*-*作曲 : 李荣浩*-*作词 : 李荣浩*-*编曲：李荣浩*-*吉他：李荣浩*-...
29764564, 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*有几片云的晴空*-*除了感动还有微风*-*我的...
486323960, 作曲 : 李荣浩*-* 作词 : 施人诚*-*不忍看你像个嫌犯*-**-*我就不再追问答案*-**...
862130427, 作曲 : 李荣浩*-* 作词 : 韩寒*-*编曲：李荣浩*-*路过这个排挡*-*只想喝一碗汤*-*...
407459148,[ti:流行歌曲]*-*[ar:李荣浩]*-* 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*...
1309866644, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲Arrangement：李荣浩Ronghao L...
29764565, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*阳光暖和 眼睛眯着*-*我用手指拨开了一束 热热的*...
407459147,[ti:09女孩 Girls_mmm_Pf]*-*[ar:09女孩]*-* 作曲 : 李荣浩*-* ...
1318234982, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲Arrangement：李荣浩Ronghao L...
400074326, 作曲 : 李荣浩*-* 作词 : 李荣浩*-**-*擦掉桌面上积下的灰*-**-*对是非也没多说几...
27731179,作曲 : 李正帆*-*作词 : 琼瑶*-*编曲 : 李荣浩*-*有一个姑娘 她有一些任性*-*她还有...
479223381, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*有一种人类        没有兄弟姐妹*-*刚走进社...
515143802,[by:立酱]*-* 作曲 : 李荣浩*-* 作词 : 李荣浩/苗柏杨*-*编曲：李荣浩*-**-*...
407459145,[ti:06優點 Merit_mmm_Pf]*-*[ar:06優點]*-* 作曲 : 李荣浩*-* ...
493631465, 作曲 : 李荣浩*-* 作词 : 李荣浩/黄伟文*-*制作人：李荣浩*-*编曲：李荣浩*-*吉他：...
519250024,[by:像我这样冷酷的耿直girl]*-* 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲：李荣...
1318234981, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲Arrangement：李荣浩Ronghao L...
27731175,作曲 : 李荣浩*-*作词 : 李荣浩*-*编曲 : 李荣浩*-*我 不会说话*-*不是哑巴 不善于...
134000, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*蓝蓝的天空下清晨里慵懒的光*-**-*刚刚睡着看上去...
29764568, 作曲 : 李荣浩*-* 作词 : 李荣浩/周耀辉*-**-*只要有翅膀就可以飞翔*-*我们有思想也...
31134194, 作曲 : 郭文贤*-* 作词 : 易齐*-*现在也只能欣赏*-*唯一的合照一张*-*淡忘了的是那个...
27731171,作曲 : 李荣浩*-*作词 : 李荣浩*-*编曲 : 李荣浩*-*拜拜 - 李荣浩*-**-*带不走...
